County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Longitude,Latitude,,Street Address
New York,624512,Store,JKA,DEMMY MICHAEL,MUFFIN MADNESS,,E 17TH ST & UNION SQ,,,NEW YORK,NY,10003,50,-73.988987,40.731969,, E 17TH ST & UNION SQ
New York,624511,Store,JKA,TREMBLAY ALAN,TREMBLAY APIARIES,,E 17TH ST & UNION SR,,,NEW YORK,NY,10003,50,-73.988987,40.731969,, E 17TH ST & UNION SR
New York,624509,Store,JKA,CANTOR HOWARD&STEPHAN,DEEP MOUNTAIN MAPLE,,E 17TH ST & UNION SQ,,,NEW YORK,NY,10003,50,-73.988987,40.731969,, E 17TH ST & UNION SQ
New York,624469,Store,JAC,OWNERS KID FOOD CORP,ASSOCIATED SUPERMARKET,123,AVENUE C,,,NEW YORK,NY,10009,5000,-73.978457,40.724615,,123 AVENUE C
New York,624461,Store,JAC,FARE FARM FOOD CORP,FINE FARE SUPERMARKET,4776,BROADWAY,,,NEW YORK,NY,10034,15000,-73.926534,40.865794,,4776 BROADWAY
New York,624422,Store,JABC,SARABETHS BAKERY LTD,SARABETHS BAKERY,75,9TH AVE,,,NEW YORK,NY,10011,5200,-74.004466,40.742227,,75 9TH AVE
New York,624421,Store,JAC,BROADWAY FRUIT MARKET LLC,BROADWAY FARM,2341,BROADWAY,,,NEW YORK,NY,10024,4300,-73.976886,40.788025,,2341 BROADWAY
New York,624412,Store,A,KEE NGUN HUI,FRUIT STAND,146,HESTER ST,,,NEW YORK,NY,10013,200,-73.995986,40.717471,,146 HESTER ST
New York,624408,Store,JAC,NAMDOR INC,GRISTEDES 562,307,W 26TH ST,,,NEW YORK,NY,10001,11000,-73.997447,40.74736,,307 W 26TH ST
New York,624402,Store,JAC,DIPALO FINE FOODS INC,DIPALO FINE FOODS,200,GRAND ST,,,NEW YORK,NY,10013,0,-73.996679,40.719105,,200 GRAND ST
New York,624394,Store,JAC,MILANO MARKET INC,MILANO MARKET,2892,BROADWAY,,,NEW YORK,NY,10025,3000,-73.965361,40.805828,,2892 BROADWAY
New York,624389,Store,JAC,ALL STAR DELI & GROCERY CORP,ALL STAR DELI & GROCERY,1525,YORK AVE,,,NEW YORK,NY,10028,1800,-73.949619,40.772497,,1525 YORK AVE
New York,624379,Store,A,YEM SANALI GROCERY INC,YEM SANALI GROCERY,881,10TH AVE,,,NEW YORK,NY,10019,1200,-73.988296,40.769512,,881 10TH AVE
New York,624340,Store,JAC,PARAS NEW YORK INC,LIBERTY BAGEL DELI&GROC,708,9TH AVE,,,NEW YORK,NY,10019,1500,-73.989622,40.762557,,708 9TH AVE
New York,624338,Store,JAC,TIN DUC FOOD MARKET INC,TIN DUC FOOD MARKET,129,E BROADWAY,,,NEW YORK,NY,10002,2000,-73.991908,40.713912,,129 E BROADWAY
New York,624320,Store,JAC,GREENWICH VILLAGE FARM INC,GREENWICH VILLAGE FARM,33A,GREENWICH AVE,,,NEW YORK,NY,10014,800,-74.000147,40.734977,,33A GREENWICH AVE
New York,624303,Store,A,NEW T Y K TRADING INC,NEW TYK TRDG GINSNG&HBS,87A,BAYARD ST,,,NEW YORK,NY,10013,1600,-73.999048,40.715815,,87A BAYARD ST
New York,624289,Store,JAC,NUVE MIGUEL CORP,KEY FOOD,755,AMSTERDAM AVE,,,NEW YORK,NY,10025,7500,-73.969986,40.794578,,755 AMSTERDAM AVE
New York,624280,Store,JAC,117 CORONA MEAT CORP,FINE FARE,136,LENOX AVE,,,NEW YORK,NY,10026,20000,-73.949275,40.802449,,136 LENOX AVE
New York,624273,Store,JAC,J&P LOBBY STAND INC,J&P LOBBY STAND,601,W 26TH ST,,,NEW YORK,NY,10001,450,-74.006769,40.751272,,601 W 26TH ST
New York,624256,Store,A,WORLD BOOKS INC,CARLTON CARDS,1,PENN PLAZA LIRR CONCOURSE,,,NEW YORK,NY,10001,17,,,,1 PENN PLAZA LIRR CONCOURSE
New York,624246,Store,JAC,SAMIS NEWSTAND INC,SAMIS NEWSTAND,500,5TH AVE,,,NEW YORK,NY,10017,450,-73.980716,40.753704,,500 5TH AVE
New York,624218,Store,JAC,JOSE GROCERY CORP,JOSE DELI GROCERY,1881,AMSTERDAM AVE,,,NEW YORK,NY,10032,1600,-73.943847,40.830383,,1881 AMSTERDAM AVE
New York,624199,Store,A,MESSERICH ALICE H,KNOLL KREST FARM,,GREEN MARKET UNION SQUARE,,,NEW YORK,NY,10003,50,-73.988987,40.731969,, GREEN MARKET UNION SQUARE
New York,624198,Store,A,VILLANI ALEX,SALT WATER ENTERPRISE,,GREEN MARKET UNION SQ,,,NEW YORK,NY,10003,0,-73.988987,40.731969,, GREEN MARKET UNION SQ
New York,624163,Store,A,CRANBERY GOURMET CORP,14TH ST CANDY&GROCERY,402,E 14TH ST,,,NEW YORK,NY,10009,100,-73.982258,40.731219,,402 E 14TH ST
